id,title,company_name,category,job_type,candidate_required_location,salary,publication_date,tags
2090903,Data Labeling Specialists,Workada,Data and Analytics,freelance,USA,$18 - $22/hr,2026-07-26 20:49:11,"research, digital content, spreadsheets"
2091035,Mid/Senior AI Cinematic Video Editor,EverAI,Artificial Intelligence,full_time,Worldwide,$30k - $100k,2026-07-24 10:33:35,"excel, video, AI/ML, customer acquisition, graphic design, video production, after effects, editing, SOLID, REST, insurance"
2091075,Business Development Representative,Outsite,Sales,full_time,"Northern America, Europe, UK, France, European timezones","$45,000 - $50,000",2026-07-23 15:39:28,"AI/ML, CRM, business development, account management, partnerships, startup, SDR, hubspot, travel, pipedrive"
2091074,Content Reviewer - United States,TELUS Digital,All others,part_time,USA,$14/hr,2026-07-23 15:37:35,"android, ios, social media, AI/ML"
2091072,Product Sales Specialist - Pet Health (CST timezone),Tribe Wellness,Sales,,Worldwide,,2026-07-22 06:22:11,"excel, salesforce, video, spark"
2091069,Patient Care Specialist,STATLINX,Medical,full_time,USA,$36k,2026-07-16 13:28:02,"research, insurance"
1919265,Senior Independent Software Developer,A.Team,Software Development,contract,"Americas, Europe, Israel",$90 - $150 /hour,2026-07-16 10:10:51,"go, wordpress, chat, apple, testing, catalyst"
1919266,Senior Independent AI Engineer / Architect,A.Team,Software Development,contract,"Americas, Europe, Israel",$120 - $170 /hour,2026-07-16 10:10:45,"go, UI/UX, wordpress, chat, apple, testing, catalyst"
2091068,Head of Marketing & Communications,garden3d,Marketing,contract,Worldwide,$150k - $230k,2026-07-16 08:06:41,
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,full_time,"USA, Canada, USA timezones",$170k - $200k,2026-07-14 20:34:15,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture"
2091067,Senior DevOps Engineer,Lemon.io,Devops,full_time,"Americas, Europe, Asia, Africa, Oceania",,2026-07-14 14:14:46,".Net, android, AWS, azure, C, C#, C++, data science, golang, ios, java, javascript, kubernetes, node.js, php, python, react, ruby/rails, scala, shopify, sql, swift, UI/UX, wordpress, blockchain, AI/ML, automation, project management, react native, rust, product management, unity, electron, spring, data analysis, bash, laravel, Ethereum, graphic design, Typescript , terraform, angular , GCP, data engineering, Site Reliability, Symfony, startup, marketplace, next.js, flutter"
2091062,Senior Product Engineer (Fullstack),Clipster,Software Development,full_time,"Europe, UK, Germany, France, European timezones",,2026-07-13 07:05:10,"backend, frontend, fullstack, golang, postgresql, react, AI/ML, documentation, youtube, Redis, distributed systems, GCP, chat, next.js, infrastructure"
2090989,Assistant Account Payable,The Obesity Society,Medical,full_time,USA,,2026-07-12 06:35:18,"accounting, excel, data entry, outlook"
1680495,Remote Office Assistant,Coalition Technologies ,Marketing,full_time,Worldwide,"$31,2k- $52k",2026-07-11 20:18:11,"CSS, excel, frontend, git, html, illustrator, magento, photoshop, php, shopify, wordpress, MySQL, startup, responsive, themes, bootstrap, insurance, jQuery, Ajax"
